code,uz,ru
A08AA08,Klobenzoreks,Клобензорекс
A08AA09,Mefenoreks,Мефенорекс
A08AA10,Sibutramin,Сибутрамин
A08AA11,Lorkaserin,Лоркасерин
A08AA56,Efedrin boshqa vositalar bilan majmuada,Эфедрин в комбинации со средствами
A08AA62,Bupropion va naltrekson,Бупропион и налтрексон
A08AB,Semizlikni davolash uchun perefirik taʼsirga ega preparatlar,Препараты периферического действия для лечения ожирения
A08AB01,Orlistat,Орлистат
A08AX01,Rimonabant,Римонабант
A08AX,Semizlikni davolash uchun boshqa preparatlar,Другие препараты для лечения ожирения
A09AA,Ferment preparatlari,Ферментные препараты
A09AA01,Diastaza,Диастаза
A09AA02,"Poliferment preparatlar(lipaza, proteaza va boshq.)","Полиферментные препараты (липаза, протеаза и т.д.)"
A09AA03,Pepsin,Пепсин
A09AA04,Tilaktaza,Тилактаза
A09AB,Kislota preparatlari,Препараты кислот
A09AB01,Glutamin kislota gidroxloridi,Глутаминовой кислоты гидрохлорид
A09AB02,Betain,Бетаин
A09AB03,Xlorid kislotasi,Хлористоводородная кислота
A09AB04,Limon kislotasi,Лимонная кислота
A09AC,Fermentlar va kislotalarning majmuaviy preparatlari,Комбинированные препараты ферментов и кислот
A09AC01,Pepsin va kislota saqlovchi preparatlar,Пепсин и кислотосодержащие препараты
A09AC02,Poliferment preparatlar va kislota saqlovchi preparatlar majmuada,Полиферментные препараты и кислотосодержащие препараты в комбинации
A10AB,Inyeksion yuborish uchun qisqa taʼsir etuvchi insulinlar va ularning analoglari,Инсулины короткого действия и их аналоги для инъекционного введения
A10AB01,Insulin (odam),Инсулин (человеческий)
A10AB02,Insulin (molniki),Инсулин (говяжий)
A10AB03,Insulin (choʻchqa),Инсулин (свиной)
A10AB04,Insulin lizpro,Инсулин лизпро
A10AB05,Insulin aspart,Инсулин аспарт
A10AB06,Insulin glulizin,Инсулин глулизин
A10AB30,Tez taʼsir etuvchi insulinlar va ularning analoglari majmuada,Инсулины быстрого действия и их аналоги в комбинации
A10AC,Inyeksion yuborish uchun oʻrtacha taʼsir davomiyligiga ega insulinlar va ularning analoglari,Инсулины средней продолжительности действия и их аналоги для инъекционного введения
A10AC01,Insulin (odam),Инсулин (человеческий)
A10AC02,Insulin (molniki),Инсулин (говяжий)
A10AC03,Insulin (choʻchqa),Инсулин (свиной)
A10AC04,Insulin lizpro,Инсулин лизпро
A10AC30,Oʻrtacha taʼsir davomiyligiga ega insulinlar va ularning analoglari majmuada,Инсулины средней продолжительности действия и их аналоги в комбинации
A10AD,Inyeksion yuborish uchun oʻrtacha taʼsir davomiyligiga ega yoki uzoq taʼsir etuvchi insulinlar va ularning analoglari qisqa taʼsir etuvchi insulinlar bilan majmuada,Инсулины средней продолжительности действия или длительного действия и их аналоги в комбинации с инсулинами короткого действия для инъекционного введения
A10AD01,Insulin (odam),Инсулин (человеческий)
A10AD02,Insulin (molniki),Инсулин (говяжий)
A10AD03,Insulin (choʻchqa),Инсулин (свиной)
A10AD04,Insulin lizpro,Инсулин лизпро
A10AD05,Insulin aspart,Инсулин аспарт
A10AD06,Insulin degludek va insulin aspart,Инсулин деглудек и инсулин аспарт
A10AD30,Majmuaviy preparatlar,Комбинированные препараты
A10AE,Inyeksion yuborish uchun uzoq taʼsir etuvchi insulinlar va ularning analoglari,Инсулины длительного действия и их аналоги для инъекционного введения
A10AE01,Insulin (odam),Инсулин (человеческий)
A10AE02,Insulin (molniki),Инсулин (говяжий)
A10AE03,Insulin (choʻchqa),Инсулин (свиной)
A10AE04,Insulin glargin,Инсулин гларгин
A10AE05,Insulin detemir,Инсулин детемир
A10AE06,Insulin degludek,Инсулин деглудек
A10AE30,Uzoq taʼsir etuvchi insulinlar va ularning analoglari majmuada,Инсулины длительного действия и их аналоги в комбинации
A10AE56,Insulin degludek va liraglutid,Инсулин деглудек и лираглутид
A10AF,Ingalyatsiya uchun insulinlar va ularning analoglari,Инсулины и их аналоги для ингаляций
A10AF01,Insulin (odam),Инсулин (человеческий)
A10BA,Biguanidlar,Бигуаниды
A10BA01,Fenformin,Фенформин
A10BA02,Metformin,Метформин
A10BA03,Buformin,Буформин
A10BB,Sulfonilmochevina hosilalari,Производные сульфонилмочевины
A10BB02,Xlorpropamid,Хлорпропамид
A10BB03,Tolbutamid,Толбутамид
A10BB04,Glibornurid,Глиборнурид
A10BB05,Tolazamid,Толазамид
A10BB06,Karbutamid,Карбутамид
A10BB07,Glipizid,Глипизид
A10BB08,Glikvidon,Гликвидон
A10BB09,Gliklazid,Гликлазид
A10BB10,Metageksamid,Метагексамид
A10BB11,Glizoksepid,Глизоксепид
A10BB12,Glimepirid,Глимепирид
A10BB31,Asetogeksamid,Ацетогексамид
A10BC,Geterotsiklik sulfonamidlar,Гетероциклические сульфонамиды
A10BC01,Glimidin,Глимидин
A10BD,Peroral gipoglikemik vositalarni majmuaviy preparatlari,Комбинированные препараты пероральных гипогликемических средств
A10BD01,Fenformin va sulfonamidlar,Фенформин и сульфонамиды
A10BD02,Metformin va sulfonamidlar,Метформин и сульфонамиды
A10BD03,Metformin va rosiglitazon,Метформин и росиглитазон
A10BD04,Glimepirid va rosiglitazon,Глимепирид и росиглитазон
A10BD05,Metformin va pioglitazon,Метформин и пиоглитазон
A10BD06,Glimepirid va pioglitazon,Глимепирид и пиоглитазон
A10BD07,Metformin va sitagliptin,Метформин и ситаглиптин
A10BD08,Vildagliptin va metformin,Вилдаглиптин и метформин
A10BD09,Alogliptin va pioglitazon,Алоглиптин и пиоглитазон
A10BD10,Metformin va saksagliptin,Метформин и саксаглиптин
A10BD11,Linagliptin va metformin,Линаглиптин и метформин
A10BD12,Pioglitazon va sitagliptin,Пиоглитазон и ситаглиптин
A10BD13,Alogliptin va metformin,Алоглиптин и метформин
A10BD14,Metformin va repaglinid,Метформин и репаглинид
A10BD15,Metformin va dapagliflozin,Метформин и дапаглифлозин
A10BD16,Metformin va kanagliflozin,Метформин и канаглифлозин
A10BD17,Metformin va akarboza,Метформин и акарбоза
A10BD18,Metformin va gemigliptin,Метформин и гемиглиптин
A10BD19,Linagliptin va empagliflozin,Линаглиптин и эмпаглифлозин
A10BD20,Metformin va empagliflozin,Метформин и эмпаглифлозин
A10BD21,Saksagliptin va dapagliflozin,Саксаглиптин и дапаглифлозин
A10BF,Alfa-glyukozidaza ingibitorlari,Ингибиторы альфа-глюкозидазы
A10BF01,Akarboza,Акарбоза
A10BF02,Miglitol,Миглитол
A10BF03,Vogliboza,Воглибоза
A10BG,Tiazolidindionlar,Тиазолидиндионы
A10BG01,Troglitazon,Троглитазон
A10BG02,Rosiglitazon,Росиглитазон
A10BG03,Pioglitazon,Пиоглитазон
A10BH,4 (dpp-4)-dipeptidilpeptidaza ingibitorlari,Ингибиторы дипептидилпептидазы-4 (дпп-4)
A10BH01,Sitagliptin,Ситаглиптин
A10BH02,Vildagliptin,Вилдаглиптин
A10BH03,Saksagliptin,Саксаглиптин
A10BH04,Alogliptin,Алоглиптин
A10BH05,Linagliptin,Линаглиптин
A10BH06,Gemigliptin,Гемиглиптин
A10BH51,Simvastatin va sitagliptin,Симвастатин и ситаглиптин
A10BJ,1 (goʻp-1)-glyukagonga oʻxshash peptid analoglari,Аналоги глюкагоноподобного пептида-1 (гпп-1)
A10BJ01,Eksenatid,Эксенатид
A10BJ02,Liraglutid,Лираглутид
A10BJ03,Liksenatid,Ликсенатид
A10BJ04,Albiglutid,Альбиглутид
A10BJ05,Dulaglutid,Дулаглутид
A10BK,Natriyga bogʻliq 2-tur glyukoza tashuvchilari ingibitorlari,Ингибиторы натрийзависимого переносчика глюкозы 2-го типа
A10BK01,Dapagliflozin,Дапаглифлозин
A10BK02,Kanagliflozin,Канаглифлозин
A10BK03,Empagliflozin,Эмпаглифлозин
A10BX,"Insulindan tashqari, boshqa gipoglikemik preparatlar","Другие гипогликемические препараты, кроме инсулинов"
A10BX01,Guarov qatroni,Гуаровая смола
A10BX02,Repaglinid,Репаглинид
A10BX03,Nateglinid,Натеглинид
A10BX04,Eksenatid,Эксенатид
A10BX05,Pramlintid,Прамлинтид
A10BX06,Benfluoreks,Бенфлуорекс
A10BX08,Mitiglinid,Митиглинид
A10XA,Aldozoreduktaza ingibitorlari,Ингибиторы альдозоредуктазы
A10XA01,Tolrestat,Толрестат
A11AA,Polivitaminlar mineral vositalar bilan majmuada,Поливитамины в комбинации с минеральными веществами
A11AA01,Polivitaminlar va temir,Поливитамины и железо
A11AA02,Polivitaminlar va temir,Поливитамины и кальций
A11AA03,Polivitaminlar boshqa minerallar bilan majmuada (jumladan poliminerallar),Поливитамины в комбинации с другими минералами (включая полиминералы)
A11AA04,Polivitaminlar boshqa mikroelementlar bilan majmuada,Поливитамины в комбинации с микроэлементами
